human	humanLabel
http://www.wikidata.org/entity/Q6260	Tiki Gelana
http://www.wikidata.org/entity/Q6270	Priscah Jeptoo
http://www.wikidata.org/entity/Q6281	Elena Lashmanova
http://www.wikidata.org/entity/Q6294	Hillary Clinton
http://www.wikidata.org/entity/Q6297	Olga Kaniskina
http://www.wikidata.org/entity/Q6300	Anna Chicherova
http://www.wikidata.org/entity/Q6304	Brigetta Barrett
http://www.wikidata.org/entity/Q6310	Jennifer Suhr
http://www.wikidata.org/entity/Q6312	Yarisley Silva
http://www.wikidata.org/entity/Q6319	Yelena Isinbayeva
http://www.wikidata.org/entity/Q6324	Brittney Reese
http://www.wikidata.org/entity/Q6332	Janay DeLoach
http://www.wikidata.org/entity/Q6338	Olga Rypakova
http://www.wikidata.org/entity/Q6348	Caterine Ibargüen
http://www.wikidata.org/entity/Q6351	Olha Saladukha
http://www.wikidata.org/entity/Q6357	Valerie Adams
http://www.wikidata.org/entity/Q6363	Yevgeniya Kolodko
http://www.wikidata.org/entity/Q6367	Ana Free
http://www.wikidata.org/entity/Q6370	Gong Lijiao
http://www.wikidata.org/entity/Q6379	Sandra Perković
http://www.wikidata.org/entity/Q6386	Darya Pishchalnikova
http://www.wikidata.org/entity/Q6391	Li Yanfeng
http://www.wikidata.org/entity/Q6395	Tatyana Lysenko
http://www.wikidata.org/entity/Q6399	Anita Włodarczyk
http://www.wikidata.org/entity/Q6404	Betty Heidler
http://www.wikidata.org/entity/Q6419	Barbora Špotáková
http://www.wikidata.org/entity/Q6427	Christina Obergföll
http://www.wikidata.org/entity/Q6432	Linda Stahl
http://www.wikidata.org/entity/Q6950	Tess Gerritsen
http://www.wikidata.org/entity/Q7013	Lena Meyer-Landrut
http://www.wikidata.org/entity/Q7099	Emmy Noether
http://www.wikidata.org/entity/Q7103	Sophie Germain
http://www.wikidata.org/entity/Q7186	Marie Curie
http://www.wikidata.org/entity/Q7195	Elizabeth Ann Nalley
http://www.wikidata.org/entity/Q7197	Simone de Beauvoir
http://www.wikidata.org/entity/Q7201	Dorothy M. Needham
http://www.wikidata.org/entity/Q7207	Elizabeth I of England
http://www.wikidata.org/entity/Q7212	Pauline Newman
http://www.wikidata.org/entity/Q7223	Wilma Olson
http://www.wikidata.org/entity/Q7226	Joan of Arc
http://www.wikidata.org/entity/Q7229	Marie-Anne Pierrette Paulze
http://www.wikidata.org/entity/Q7231	Rosa Luxemburg
http://www.wikidata.org/entity/Q7236	Lucy Weston Pickett
http://www.wikidata.org/entity/Q7249	Agnes Pockels
http://www.wikidata.org/entity/Q7255	Darshan Ranganathan
http://www.wikidata.org/entity/Q7259	Ada Lovelace
http://www.wikidata.org/entity/Q7267	Hazel Alden Reason
http://www.wikidata.org/entity/Q7273	Ellen Swallow Richards
http://www.wikidata.org/entity/Q7276	Anca Mosoiu
http://www.wikidata.org/entity/Q7286	Émilie du Châtelet
http://www.wikidata.org/entity/Q7287	Ruby Hirose
http://www.wikidata.org/entity/Q7290	Annette Salmeen
http://www.wikidata.org/entity/Q7300	Katsuko Saruhashi
http://www.wikidata.org/entity/Q7306	Patsy O'Connell Sherman
http://www.wikidata.org/entity/Q7309	Maxine Singer
http://www.wikidata.org/entity/Q7335	Miep Gies
http://www.wikidata.org/entity/Q7337	Edith Frank-Holländer
http://www.wikidata.org/entity/Q7339	Margot Frank
http://www.wikidata.org/entity/Q7406	Kamala Sohonie
http://www.wikidata.org/entity/Q7409	Hertha Sponer
http://www.wikidata.org/entity/Q7410	Anna Sundström
http://www.wikidata.org/entity/Q7412	Kathleen C. Taylor
http://www.wikidata.org/entity/Q7415	Mária Telkes Arefereas
http://www.wikidata.org/entity/Q7416	Margaret Thatcher
http://www.wikidata.org/entity/Q7417	Alice Y. Ting
http://www.wikidata.org/entity/Q7421	Kathryn Uhrich
http://www.wikidata.org/entity/Q7423	Karen Wetterhahn
http://www.wikidata.org/entity/Q7424	Elsie Widdowson
http://www.wikidata.org/entity/Q7426	Ada Yonath
http://www.wikidata.org/entity/Q55691	Shirish Atre-Pai
